date,order_id,sku,category,channel,orders,revenue,year,month
2021-10-22,112284,Penas Gatito,Brinquedo,Cartão Débito,1,21.28,2021,10
2023-06-16,224238,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Boleto Bancário,1,136.5,2023,6
2021-08-04,118440,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Cartão Débito,1,111.72,2021,8
2020-10-19,76730,Roupa para Cão Billaboard,Acessório,Dinheiro,1,51.52,2020,10
2022-04-05,184030,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Pix,1,,2022,4
2020-02-27,96397,Biscoito  True Champion 300g,Alimentação,Cartão Débito,1,17.92,2020,2
2023-09-21,207787,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Débito,1,83.2,2023,9
2021-04-23,108113,Mordedor de Corda Bola,Brinquedo,Cartão Crédito,1,31.92,2021,4
2021-01-12,101127,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Cartão Crédito,1,85.12,2021,1
2022-03-30,199068,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Débito,1,,2022,3
2023-11-03,214775,Mordedor de Corda Bola,Brinquedo,Cartão Débito,1,33.8,2023,11
2024-01-11,240064,Vitamina E Granulado BigForce,Medicamento,Cartão Débito,1,,2024,1
2022-01-27,171683,Mordedor de Corda Bola,Brinquedo,Pix,1,,2022,1
2023-09-20,209003,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Cartão Crédito,1,119.6,2023,9
2022-10-06,190178,Bandana Disney Mickey Fábrica Petti ,Acessório,Pix,1,,2022,10
2024-01-04,259886,Vitamina E Granulado BigForce,Medicamento,Cartão Débito,1,,2024,1
2023-07-06,225221,Bandana Disney Mickey Fábrica Petti ,Acessório,Boleto Bancário,1,26.0,2023,7
2020-02-03,61802,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Dinheiro,1,649.6,2020,2
2023-04-28,214567,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Dinheiro,1,37.7,2023,4
2021-02-05,145739,Meias esportivas para cães para ambientes internos e externos,Acessório,Cartão Débito,1,42.56,2021,2
2022-07-21,151295,Mordedor de Corda Bola,Brinquedo,Boleto Bancário,1,,2022,7
2020-04-01,94846,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Pix,1,51.52,2020,4
2023-07-03,214546,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Pix,1,114.4,2023,7
2022-07-07,157097,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Pix,1,,2022,7
2023-09-03,208469,Penas Gatito,Brinquedo,Cartão Crédito,1,19.5,2023,9
2024-01-29,242697,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Pix,1,,2024,1
2021-06-03,120473,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Boleto Bancário,1,115.71,2021,6
2024-03-15,267114,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,Medicamento,Cartão Débito,1,,2024,3
2024-01-19,237309,"Ração Royal Canin Exigent Gatos Adultos 1,5Kg",Alimentação,Dinheiro,1,,2024,1
2023-02-17,207437,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Débito,1,148.2,2023,2
2024-01-01,242919,Bola Pet Vinil Big Blue,Brinquedo,Cartão Débito,1,,2024,1
2024-03-20,244342,Shampoo vegano para cachorro e gato de camomila 250 ml,Higiene e Limpeza,Dinheiro,1,,2024,3
2023-08-12,224479,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Boleto Bancário,1,81.9,2023,8
2021-12-11,136417,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Pix,1,381.71,2021,12
2024-02-23,235792,Mordedor de Corda Bola,Brinquedo,Pix,1,,2024,2
2022-09-09,166134,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Cartão Crédito,1,,2022,9
2022-10-02,178048,Biscoito Pedigree Biscrok Multi para Cães Adultos 1 Kg 420g,Petisco,Pix,1,,2022,10
2023-10-12,224165,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Dinheiro,1,40.3,2023,10
2021-01-11,126973,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Crédito,1,1154.44,2021,1
2020-08-04,54366,Bandana Disney Mickey Fábrica Petti ,Acessório,Boleto Bancário,1,36.96,2020,8
2020-10-27,96685,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Pix,1,75.04,2020,10
2021-12-19,101962,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Dinheiro,1,107.73,2021,12
2020-08-28,58590,Biscoito  True Champion 300g,Alimentação,Cartão Crédito,1,63.84,2020,8
2021-11-03,122167,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Pix,1,1017.45,2021,11
2024-03-14,235654,Cama Coração Coroa Pet Nest Almofada Lavável,Acessório,Boleto Bancário,1,,2024,3
2021-04-02,103233,Bola Pet Vinil Big Blue,Brinquedo,Cartão Crédito,1,23.94,2021,4
2021-08-28,142690,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Crédito,1,23.94,2021,8
2024-04-03,259595,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Pix,1,,2024,4
2023-07-01,222362,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,Higiene e Limpeza,Dinheiro,1,40.3,2023,7
2023-06-26,223419,Bandana Disney Mickey Fábrica Petti ,Acessório,Boleto Bancário,1,23.4,2023,6
2021-03-13,106199,Bandana Disney Mickey Fábrica Petti ,Acessório,Pix,1,14.63,2021,3
2024-01-13,256720,Bola Pet Vinil Big Blue,Brinquedo,Cartão Crédito,1,,2024,1
2024-02-18,252801,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Pix,1,,2024,2
2024-04-03,246252,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Pix,1,,2024,4
2021-02-23,103548,Bebedouro e Comedouro Automático para Cães e Gatos Filhotes,Bebedouros e Comedouros,Boleto Bancário,1,57.19,2021,2
2023-07-03,203038,Bola Pet Vinil Big Blue,Brinquedo,Boleto Bancário,1,46.8,2023,7
2022-07-28,178625,Ração Úmida Royal Canin Lata Veterinary Cães Adultos 500g,Alimentação,Cartão Crédito,1,,2022,7
2021-06-09,133979,Vitamina E Granulado BigForce,Medicamento,Cartão Crédito,1,202.16,2021,6
2024-01-28,250312,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Cartão Débito,1,,2024,1
2023-02-13,214599,Nutri Alimentador Inteligente Automático Câmera Google Alexa,Bebedouros e Comedouros,Cartão Crédito,1,1076.4,2023,2
2020-04-26,83567,Ração Royal Canin Club Performance para Cães Adultos,Alimentação,Cartão Crédito,1,241.92,2020,4
2020-10-28,93601,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Boleto Bancário,1,927.36,2020,10
2022-07-29,175868,Penas Gatito,Brinquedo,Cartão Débito,1,,2022,7
2022-09-17,151660,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Cartão Crédito,1,,2022,9
2023-03-12,225170,Whiskas Petisco Temptations Anti Bola de Pelo 40g,Petisco,Dinheiro,1,23.4,2023,3
2024-02-25,239798,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Cartão Débito,1,,2024,2
2020-04-11,63688,Kit Banho e Tosa com Escova PetShop Cãopeon,Higiene e Limpeza,Dinheiro,1,70.56,2020,4
2020-12-05,62402,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,Medicamento,Dinheiro,1,611.52,2020,12
2024-02-19,239990,Mordedor de Corda Bola,Brinquedo,Pix,1,,2024,2
2024-02-20,229610,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,Petisco,Dinheiro,1,,2024,2
2023-07-21,222311,Vitamina E Granulado BigForce,Medicamento,Cartão Débito,1,84.5,2023,7
